Kernel backend: cce
Autodetected device type: cuda
2026-02-02 17:08:00,507 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1
Vocab size: 32,768
Loading SFT dataset from data/diff_sft.jsonl
SFT dataset size: 60052 examples
Loading pretrained model from /home/dave/.cache/nanochat/base_checkpoints/d16_400M_fim_cce
Loaded checkpoint from step 10000
Parameters: 398,458,912
Training for 2 epochs, 15013 steps/epoch, 30026 total steps
Warmup steps: 3002
  step 00050/30026 | epoch 1/2 | loss: 1.7691 | avg: 1.5291 | lr: 8.33e-07
  step 01000/30026 | epoch 1/2 | loss: 0.8690 | avg: 1.4674 | lr: 1.67e-05
  step 01050/30026 | epoch 1/2 | loss: 0.8910 | avg: 1.4574 | lr: 1.75e-05
  step 01100/30026 | epoch 1/2 | loss: 1.4552 | avg: 1.4462 | lr: 1.83e-05
  step 01150/30026 | epoch 1/2 | loss: 0.9496 | avg: 1.4322 | lr: 1.92e-05
  step 01200/30026 | epoch 1/2 | loss: 1.5569 | avg: 1.4236 | lr: 2.00e-05
  step 01250/30026 | epoch 1/2 | loss: 0.9276 | avg: 1.4126 | lr: 2.08e-05
  step 01300/30026 | epoch 1/2 | loss: 1.0333 | avg: 1.4018 | lr: 2.17e-05
  step 01350/30026 | epoch 1/2 | loss: 1.3282 | avg: 1.3939 | lr: 2.25e-05
  step 01400/30026 | epoch 1/2 | loss: 0.9589 | avg: 1.3859 | lr: 2.33e-05
  step 01450/30026 | epoch 1/2 | loss: 1.1716 | avg: 1.3742 | lr: 2.42e-05
  step 01500/30026 | epoch 1/2 | loss: 1.2771 | avg: 1.3668 | lr: 2.50e-05
  step 01550/30026 | epoch 1/2 | loss: 0.9043 | avg: 1.3584 | lr: 2.58e-05
  step 01600/30026 | epoch 1/2 | loss: 0.9769 | avg: 1.3503 | lr: 2.66e-05
  step 01650/30026 | epoch 1/2 | loss: 1.0695 | avg: 1.3448 | lr: 2.75e-05
  step 01700/30026 | epoch 1/2 | loss: 1.3360 | avg: 1.3382 | lr: 2.83e-05
  step 01750/30026 | epoch 1/2 | loss: 1.7836 | avg: 1.3314 | lr: 2.91e-05
  step 01800/30026 | epoch 1/2 | loss: 1.4243 | avg: 1.3250 | lr: 3.00e-05
  step 01850/30026 | epoch 1/2 | loss: 0.4209 | avg: 1.3208 | lr: 3.08e-05
  step 01900/30026 | epoch 1/2 | loss: 1.0038 | avg: 1.3158 | lr: 3.16e-05
  step 01950/30026 | epoch 1/2 | loss: 0.8218 | avg: 1.3099 | lr: 3.25e-05
  step 02000/30026 | epoch 1/2 | loss: 1.2411 | avg: 1.3049 | lr: 3.33e-05
  step 02050/30026 | epoch 1/2 | loss: 1.6277 | avg: 1.2996 | lr: 3.41e-05
  step 02100/30026 | epoch 1/2 | loss: 1.0776 | avg: 1.2934 | lr: 3.50e-05
  step 02150/30026 | epoch 1/2 | loss: 1.3433 | avg: 1.2885 | lr: 3.58e-05
  step 02200/30026 | epoch 1/2 | loss: 1.0575 | avg: 1.2827 | lr: 3.66e-05
  step 02250/30026 | epoch 1/2 | loss: 1.4803 | avg: 1.2784 | lr: 3.75e-05
  step 02300/30026 | epoch 1/2 | loss: 0.8274 | avg: 1.2735 | lr: 3.83e-05
  step 02350/30026 | epoch 1/2 | loss: 1.0533 | avg: 1.2678 | lr: 3.91e-05
  step 02400/30026 | epoch 1/2 | loss: 1.0178 | avg: 1.2646 | lr: 4.00e-05
  step 02450/30026 | epoch 1/2 | loss: 1.1904 | avg: 1.2597 | lr: 4.08e-05
  step 02500/30026 | epoch 1/2 | loss: 1.3141 | avg: 1.2565 | lr: 4.16e-05
  step 02550/30026 | epoch 1/2 | loss: 0.9229 | avg: 1.2523 | lr: 4.25e-05
  step 02600/30026 | epoch 1/2 | loss: 0.3313 | avg: 1.2494 | lr: 4.33e-05
  step 02650/30026 | epoch 1/2 | loss: 0.9018 | avg: 1.2451 | lr: 4.41e-05
  step 02700/30026 | epoch 1/2 | loss: 1.1920 | avg: 1.2422 | lr: 4.50e-05
  step 02750/30026 | epoch 1/2 | loss: 1.0004 | avg: 1.2381 | lr: 4.58e-05
  step 02800/30026 | epoch 1/2 | loss: 0.8943 | avg: 1.2332 | lr: 4.66e-05
  step 02850/30026 | epoch 1/2 | loss: 1.2138 | avg: 1.2287 | lr: 4.75e-05
  step 02900/30026 | epoch 1/2 | loss: 0.8856 | avg: 1.2257 | lr: 4.83e-05
  step 02950/30026 | epoch 1/2 | loss: 1.0212 | avg: 1.2230 | lr: 4.91e-05
  step 03000/30026 | epoch 1/2 | loss: 1.2177 | avg: 1.2206 | lr: 5.00e-05
  step 03050/30026 | epoch 1/2 | loss: 0.7758 | avg: 1.2178 | lr: 5.00e-05
  step 03100/30026 | epoch 1/2 | loss: 0.8198 | avg: 1.2144 | lr: 5.00e-05
  step 03150/30026 | epoch 1/2 | loss: 0.5207 | avg: 1.2120 | lr: 5.00e-05
  step 03200/30026 | epoch 1/2 | loss: 1.0377 | avg: 1.2083 | lr: 5.00e-05
  step 03250/30026 | epoch 1/2 | loss: 1.4475 | avg: 1.2059 | lr: 5.00e-05
  step 03300/30026 | epoch 1/2 | loss: 1.1319 | avg: 1.2035 | lr: 5.00e-05
  step 03350/30026 | epoch 1/2 | loss: 1.3924 | avg: 1.2004 | lr: 5.00e-05
  step 03400/30026 | epoch 1/2 | loss: 0.6150 | avg: 1.1979 | lr: 5.00e-05
  step 03450/30026 | epoch 1/2 | loss: 1.1825 | avg: 1.1941 | lr: 5.00e-05
  step 03500/30026 | epoch 1/2 | loss: 0.7575 | avg: 1.1916 | lr: 5.00e-05
  step 03550/30026 | epoch 1/2 | loss: 0.9083 | avg: 1.1890 | lr: 4.99e-05
  step 03600/30026 | epoch 1/2 | loss: 0.9620 | avg: 1.1855 | lr: 4.99e-05
  step 03650/30026 | epoch 1/2 | loss: 0.9786 | avg: 1.1832 | lr: 4.99e-05
  step 03700/30026 | epoch 1/2 | loss: 1.0371 | avg: 1.1817 | lr: 4.99e-05
  step 03750/30026 | epoch 1/2 | loss: 0.7670 | avg: 1.1790 | lr: 4.99e-05
  step 03800/30026 | epoch 1/2 | loss: 1.1811 | avg: 1.1767 | lr: 4.99e-05
  step 03850/30026 | epoch 1/2 | loss: 1.1096 | avg: 1.1744 | lr: 4.99e-05
  step 03900/30026 | epoch 1/2 | loss: 0.6034 | avg: 1.1710 | lr: 4.99e-05
  step 03950/30026 | epoch 1/2 | loss: 0.5520 | avg: 1.1683 | lr: 4.98e-05
  step 04000/30026 | epoch 1/2 | loss: 1.0871 | avg: 1.1664 | lr: 4.98e-05
  step 04050/30026 | epoch 1/2 | loss: 0.8479 | avg: 1.1647 | lr: 4.98e-05
  step 04100/30026 | epoch 1/2 | loss: 0.7779 | avg: 1.1624 | lr: 4.98e-05
  step 04150/30026 | epoch 1/2 | loss: 1.1422 | avg: 1.1603 | lr: 4.98e-05
  step 04200/30026 | epoch 1/2 | loss: 1.4584 | avg: 1.1590 | lr: 4.98e-05
  step 04250/30026 | epoch 1/2 | loss: 1.1707 | avg: 1.1572 | lr: 4.97e-05
  step 04300/30026 | epoch 1/2 | loss: 1.2990 | avg: 1.1558 | lr: 4.97e-05
  step 04350/30026 | epoch 1/2 | loss: 1.0676 | avg: 1.1538 | lr: 4.97e-05
  step 04400/30026 | epoch 1/2 | loss: 0.9911 | avg: 1.1523 | lr: 4.97e-05
  step 04450/30026 | epoch 1/2 | loss: 0.5189 | avg: 1.1501 | lr: 4.96e-05
  step 04500/30026 | epoch 1/2 | loss: 0.9568 | avg: 1.1489 | lr: 4.96e-05
  step 04550/30026 | epoch 1/2 | loss: 1.1338 | avg: 1.1472 | lr: 4.96e-05
  step 04600/30026 | epoch 1/2 | loss: 1.0478 | avg: 1.1453 | lr: 4.96e-05
  step 04650/30026 | epoch 1/2 | loss: 0.7672 | avg: 1.1434 | lr: 4.95e-05
  step 04700/30026 | epoch 1/2 | loss: 1.1184 | avg: 1.1414 | lr: 4.95e-05
  step 04750/30026 | epoch 1/2 | loss: 1.4866 | avg: 1.1400 | lr: 4.95e-05
  step 04800/30026 | epoch 1/2 | loss: 1.0363 | avg: 1.1384 | lr: 4.95e-05
  step 04850/30026 | epoch 1/2 | loss: 0.5015 | avg: 1.1365 | lr: 4.94e-05
  step 04900/30026 | epoch 1/2 | loss: 1.2621 | avg: 1.1359 | lr: 4.94e-05
  step 04950/30026 | epoch 1/2 | loss: 0.8928 | avg: 1.1343 | lr: 4.94e-05
  step 05000/30026 | epoch 1/2 | loss: 1.2058 | avg: 1.1329 | lr: 4.93e-05
2026-02-02 17:36:27,238 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Saved model parameters to: /home/dave/.cache/nanochat/sft_checkpoints/d16/model_005000.pt
2026-02-02 17:36:27,238 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Saved metadata to: /home/dave/.cache/nanochat/sft_checkpoints/d16/meta_005000.json
2026-02-02 17:36:28,389 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Saved optimizer state to: /home/dave/.cache/nanochat/sft_checkpoints/d16/optim_005000_rank0.pt
  step 05050/30026 | epoch 1/2 | loss: 0.5946 | avg: 1.1314 | lr: 4.93e-05
  step 05100/30026 | epoch 1/2 | loss: 1.1767 | avg: 1.1300 | lr: 4.93e-05
  step 05150/30026 | epoch 1/2 | loss: 0.8378 | avg: 1.1286 | lr: 4.92e-05
  step 05200/30026 | epoch 1/2 | loss: 0.9084 | avg: 1.1273 | lr: 4.92e-05
  step 05250/30026 | epoch 1/2 | loss: 0.7503 | avg: 1.1255 | lr: 4.92e-05
  step 05300/30026 | epoch 1/2 | loss: 1.2167 | avg: 1.1243 | lr: 4.91e-05
  step 05350/30026 | epoch 1/2 | loss: 0.8576 | avg: 1.1230 | lr: 4.91e-05
  step 05400/30026 | epoch 1/2 | loss: 0.5598 | avg: 1.1216 | lr: 4.90e-05
  step 05450/30026 | epoch 1/2 | loss: 1.2826 | avg: 1.1206 | lr: 4.90e-05
  step 05500/30026 | epoch 1/2 | loss: 1.1940 | avg: 1.1192 | lr: 4.90e-05
  step 05550/30026 | epoch 1/2 | loss: 1.2519 | avg: 1.1186 | lr: 4.89e-05
  step 05600/30026 | epoch 1/2 | loss: 0.9437 | avg: 1.1176 | lr: 4.89e-05
  step 05650/30026 | epoch 1/2 | loss: 0.9873 | avg: 1.1166 | lr: 4.88e-05
  step 05700/30026 | epoch 1/2 | loss: 1.0377 | avg: 1.1153 | lr: 4.88e-05
  step 05750/30026 | epoch 1/2 | loss: 0.6945 | avg: 1.1143 | lr: 4.87e-05
  step 05800/30026 | epoch 1/2 | loss: 1.0575 | avg: 1.1130 | lr: 4.87e-05
  step 05850/30026 | epoch 1/2 | loss: 1.1589 | avg: 1.1117 | lr: 4.86e-05
  step 05900/30026 | epoch 1/2 | loss: 1.0121 | avg: 1.1107 | lr: 4.86e-05
  step 05950/30026 | epoch 1/2 | loss: 1.4207 | avg: 1.1095 | lr: 4.85e-05
  step 06000/30026 | epoch 1/2 | loss: 0.6354 | avg: 1.1087 | lr: 4.85e-05
  step 06050/30026 | epoch 1/2 | loss: 0.7648 | avg: 1.1075 | lr: 4.84e-05
  step 06100/30026 | epoch 1/2 | loss: 1.1364 | avg: 1.1061 | lr: 4.84e-05
  step 06150/30026 | epoch 1/2 | loss: 0.5908 | avg: 1.1050 | lr: 4.83e-05
  step 06200/30026 | epoch 1/2 | loss: 1.1736 | avg: 1.1042 | lr: 4.83e-05
  step 06250/30026 | epoch 1/2 | loss: 0.2588 | avg: 1.1029 | lr: 4.82e-05
  step 06300/30026 | epoch 1/2 | loss: 0.6923 | avg: 1.1018 | lr: 4.82e-05
  step 06350/30026 | epoch 1/2 | loss: 0.9523 | avg: 1.1013 | lr: 4.81e-05
  step 06400/30026 | epoch 1/2 | loss: 1.3817 | avg: 1.1006 | lr: 4.81e-05
  step 06450/30026 | epoch 1/2 | loss: 0.5718 | avg: 1.0994 | lr: 4.80e-05
  step 06500/30026 | epoch 1/2 | loss: 1.1881 | avg: 1.0987 | lr: 4.80e-05
  step 06550/30026 | epoch 1/2 | loss: 0.9797 | avg: 1.0976 | lr: 4.79e-05
  step 06600/30026 | epoch 1/2 | loss: 0.8839 | avg: 1.0965 | lr: 4.78e-05
  step 06650/30026 | epoch 1/2 | loss: 0.8597 | avg: 1.0958 | lr: 4.78e-05
  step 06700/30026 | epoch 1/2 | loss: 0.7101 | avg: 1.0948 | lr: 4.77e-05
  step 06750/30026 | epoch 1/2 | loss: 1.1940 | avg: 1.0938 | lr: 4.77e-05
  step 06800/30026 | epoch 1/2 | loss: 0.7398 | avg: 1.0924 | lr: 4.76e-05
  step 06850/30026 | epoch 1/2 | loss: 0.8778 | avg: 1.0913 | lr: 4.75e-05
  step 06900/30026 | epoch 1/2 | loss: 0.3834 | avg: 1.0906 | lr: 4.75e-05
  step 06950/30026 | epoch 1/2 | loss: 0.5397 | avg: 1.0893 | lr: 4.74e-05
  step 07000/30026 | epoch 1/2 | loss: 0.7678 | avg: 1.0884 | lr: 4.73e-05
  step 07050/30026 | epoch 1/2 | loss: 0.5182 | avg: 1.0875 | lr: 4.73e-05
  step 07100/30026 | epoch 1/2 | loss: 0.8277 | avg: 1.0868 | lr: 4.72e-05
  step 07150/30026 | epoch 1/2 | loss: 0.9125 | avg: 1.0863 | lr: 4.72e-05
  step 07200/30026 | epoch 1/2 | loss: 1.2416 | avg: 1.0855 | lr: 4.71e-05
  step 07250/30026 | epoch 1/2 | loss: 0.9198 | avg: 1.0848 | lr: 4.70e-05
  step 07300/30026 | epoch 1/2 | loss: 0.7597 | avg: 1.0841 | lr: 4.69e-05
  step 07350/30026 | epoch 1/2 | loss: 1.0632 | avg: 1.0833 | lr: 4.69e-05
  step 07400/30026 | epoch 1/2 | loss: 0.9911 | avg: 1.0827 | lr: 4.68e-05
  step 07450/30026 | epoch 1/2 | loss: 0.7739 | avg: 1.0821 | lr: 4.67e-05
  step 07500/30026 | epoch 1/2 | loss: 1.1261 | avg: 1.0817 | lr: 4.67e-05
  step 07550/30026 | epoch 1/2 | loss: 0.9420 | avg: 1.0811 | lr: 4.66e-05
  step 07600/30026 | epoch 1/2 | loss: 0.8825 | avg: 1.0804 | lr: 4.65e-05
  step 07650/30026 | epoch 1/2 | loss: 1.5070 | avg: 1.0797 | lr: 4.64e-05
  step 07700/30026 | epoch 1/2 | loss: 0.6964 | avg: 1.0791 | lr: 4.64e-05
  step 07750/30026 | epoch 1/2 | loss: 0.9458 | avg: 1.0783 | lr: 4.63e-05
  step 07800/30026 | epoch 1/2 | loss: 0.7307 | avg: 1.0773 | lr: 4.62e-05
  step 07850/30026 | epoch 1/2 | loss: 1.4167 | avg: 1.0768 | lr: 4.61e-05
  step 07900/30026 | epoch 1/2 | loss: 1.1198 | avg: 1.0762 | lr: 4.61e-05
  step 07950/30026 | epoch 1/2 | loss: 0.7513 | avg: 1.0751 | lr: 4.60e-05
  step 08000/30026 | epoch 1/2 | loss: 0.9605 | avg: 1.0743 | lr: 4.59e-05
  step 08050/30026 | epoch 1/2 | loss: 1.2580 | avg: 1.0735 | lr: 4.58e-05
  step 08100/30026 | epoch 1/2 | loss: 1.1826 | avg: 1.0725 | lr: 4.57e-05
  step 08150/30026 | epoch 1/2 | loss: 1.4129 | avg: 1.0718 | lr: 4.57e-05
  step 08200/30026 | epoch 1/2 | loss: 1.1525 | avg: 1.0713 | lr: 4.56e-05
  step 08250/30026 | epoch 1/2 | loss: 0.9766 | avg: 1.0706 | lr: 4.55e-05
  step 08300/30026 | epoch 1/2 | loss: 0.8799 | avg: 1.0695 | lr: 4.54e-05
  step 08350/30026 | epoch 1/2 | loss: 1.6850 | avg: 1.0691 | lr: 4.53e-05
  step 08400/30026 | epoch 1/2 | loss: 0.9197 | avg: 1.0686 | lr: 4.52e-05
  step 08450/30026 | epoch 1/2 | loss: 1.0288 | avg: 1.0683 | lr: 4.52e-05
  step 08500/30026 | epoch 1/2 | loss: 0.7403 | avg: 1.0677 | lr: 4.51e-05
  step 08550/30026 | epoch 1/2 | loss: 1.1279 | avg: 1.0669 | lr: 4.50e-05
  step 08600/30026 | epoch 1/2 | loss: 0.8234 | avg: 1.0663 | lr: 4.49e-05
  step 08650/30026 | epoch 1/2 | loss: 1.0167 | avg: 1.0655 | lr: 4.48e-05
  step 08700/30026 | epoch 1/2 | loss: 1.3162 | avg: 1.0647 | lr: 4.47e-05
  step 08750/30026 | epoch 1/2 | loss: 0.7714 | avg: 1.0640 | lr: 4.46e-05
  step 08800/30026 | epoch 1/2 | loss: 1.2659 | avg: 1.0636 | lr: 4.45e-05
  step 08850/30026 | epoch 1/2 | loss: 0.8833 | avg: 1.0628 | lr: 4.44e-05
  step 08900/30026 | epoch 1/2 | loss: 1.1457 | avg: 1.0622 | lr: 4.44e-05
  step 08950/30026 | epoch 1/2 | loss: 1.0990 | avg: 1.0616 | lr: 4.43e-05
  step 09000/30026 | epoch 1/2 | loss: 1.1030 | avg: 1.0606 | lr: 4.42e-05
  step 09050/30026 | epoch 1/2 | loss: 0.8578 | avg: 1.0598 | lr: 4.41e-05
  step 09100/30026 | epoch 1/2 | loss: 0.5815 | avg: 1.0593 | lr: 4.40e-05
  step 09150/30026 | epoch 1/2 | loss: 0.7932 | avg: 1.0582 | lr: 4.39e-05
  step 09200/30026 | epoch 1/2 | loss: 0.5714 | avg: 1.0578 | lr: 4.38e-05
  step 09250/30026 | epoch 1/2 | loss: 0.6237 | avg: 1.0568 | lr: 4.37e-05
  step 09300/30026 | epoch 1/2 | loss: 1.0190 | avg: 1.0566 | lr: 4.36e-05
  step 09350/30026 | epoch 1/2 | loss: 0.9396 | avg: 1.0560 | lr: 4.35e-05
  step 09400/30026 | epoch 1/2 | loss: 0.9215 | avg: 1.0554 | lr: 4.34e-05
  step 09450/30026 | epoch 1/2 | loss: 1.1936 | avg: 1.0548 | lr: 4.33e-05
  step 09500/30026 | epoch 1/2 | loss: 1.5265 | avg: 1.0542 | lr: 4.32e-05
  step 09550/30026 | epoch 1/2 | loss: 0.2955 | avg: 1.0536 | lr: 4.31e-05
  step 09600/30026 | epoch 1/2 | loss: 0.9842 | avg: 1.0529 | lr: 4.30e-05
  step 09650/30026 | epoch 1/2 | loss: 1.0708 | avg: 1.0525 | lr: 4.29e-05
  step 09700/30026 | epoch 1/2 | loss: 0.8273 | avg: 1.0520 | lr: 4.28e-05
  step 09750/30026 | epoch 1/2 | loss: 0.8266 | avg: 1.0513 | lr: 4.27e-05
  step 09800/30026 | epoch 1/2 | loss: 1.3004 | avg: 1.0510 | lr: 4.26e-05
  step 09850/30026 | epoch 1/2 | loss: 0.8897 | avg: 1.0502 | lr: 4.25e-05
  step 09900/30026 | epoch 1/2 | loss: 0.9991 | avg: 1.0499 | lr: 4.24e-05
  step 09950/30026 | epoch 1/2 | loss: 0.7232 | avg: 1.0492 | lr: 4.23e-05
  step 10000/30026 | epoch 1/2 | loss: 0.9728 | avg: 1.0489 | lr: 4.22e-05
2026-02-02 18:06:08,498 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Saved model parameters to: /home/dave/.cache/nanochat/sft_checkpoints/d16/model_010000.pt
2026-02-02 18:06:08,498 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Saved metadata to: /home/dave/.cache/nanochat/sft_checkpoints/d16/meta_010000.json
2026-02-02 18:06:09,454 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Saved optimizer state to: /home/dave/.cache/nanochat/sft_checkpoints/d16/optim_010000_rank0.pt
  step 10050/30026 | epoch 1/2 | loss: 0.5825 | avg: 1.0483 | lr: 4.21e-05
  step 10100/30026 | epoch 1/2 | loss: 0.8913 | avg: 1.0479 | lr: 4.20e-05
  step 10150/30026 | epoch 1/2 | loss: 0.7102 | avg: 1.0478 | lr: 4.19e-05
  step 10200/30026 | epoch 1/2 | loss: 0.9510 | avg: 1.0472 | lr: 4.17e-05
  step 10250/30026 | epoch 1/2 | loss: 0.6256 | avg: 1.0466 | lr: 4.16e-05
  step 10300/30026 | epoch 1/2 | loss: 0.6023 | avg: 1.0458 | lr: 4.15e-05
  step 10350/30026 | epoch 1/2 | loss: 1.0932 | avg: 1.0453 | lr: 4.14e-05
  step 10400/30026 | epoch 1/2 | loss: 1.5572 | avg: 1.0447 | lr: 4.13e-05
  step 10450/30026 | epoch 1/2 | loss: 1.1021 | avg: 1.0445 | lr: 4.12e-05
  step 10500/30026 | epoch 1/2 | loss: 0.6441 | avg: 1.0442 | lr: 4.11e-05
  step 10550/30026 | epoch 1/2 | loss: 0.4647 | avg: 1.0439 | lr: 4.10e-05
  step 10600/30026 | epoch 1/2 | loss: 0.7884 | avg: 1.0435 | lr: 4.09e-05
  step 10650/30026 | epoch 1/2 | loss: 1.0723 | avg: 1.0431 | lr: 4.08e-05
  step 10700/30026 | epoch 1/2 | loss: 0.8562 | avg: 1.0427 | lr: 4.06e-05
  step 10750/30026 | epoch 1/2 | loss: 1.1642 | avg: 1.0422 | lr: 4.05e-05
  step 10800/30026 | epoch 1/2 | loss: 0.4713 | avg: 1.0416 | lr: 4.04e-05
  step 10850/30026 | epoch 1/2 | loss: 1.0712 | avg: 1.0414 | lr: 4.03e-05
  step 10900/30026 | epoch 1/2 | loss: 0.9586 | avg: 1.0410 | lr: 4.02e-05
  step 10950/30026 | epoch 1/2 | loss: 0.2681 | avg: 1.0405 | lr: 4.01e-05
  step 11000/30026 | epoch 1/2 | loss: 0.8998 | avg: 1.0399 | lr: 4.00e-05
  step 11050/30026 | epoch 1/2 | loss: 1.0256 | avg: 1.0395 | lr: 3.98e-05
  step 11100/30026 | epoch 1/2 | loss: 1.1048 | avg: 1.0392 | lr: 3.97e-05
  step 11150/30026 | epoch 1/2 | loss: 0.3739 | avg: 1.0390 | lr: 3.96e-05
  step 11200/30026 | epoch 1/2 | loss: 0.8855 | avg: 1.0386 | lr: 3.95e-05
  step 11250/30026 | epoch 1/2 | loss: 0.6614 | avg: 1.0384 | lr: 3.94e-05
  step 11300/30026 | epoch 1/2 | loss: 0.8332 | avg: 1.0381 | lr: 3.92e-05
  step 11350/30026 | epoch 1/2 | loss: 0.8489 | avg: 1.0378 | lr: 3.91e-05
  step 11400/30026 | epoch 1/2 | loss: 1.2214 | avg: 1.0376 | lr: 3.90e-05
  step 11450/30026 | epoch 1/2 | loss: 0.3903 | avg: 1.0372 | lr: 3.89e-05
  step 11500/30026 | epoch 1/2 | loss: 0.8770 | avg: 1.0366 | lr: 3.88e-05
  step 11550/30026 | epoch 1/2 | loss: 1.1788 | avg: 1.0362 | lr: 3.86e-05
  step 11600/30026 | epoch 1/2 | loss: 1.0453 | avg: 1.0357 | lr: 3.85e-05
  step 11650/30026 | epoch 1/2 | loss: 0.9630 | avg: 1.0353 | lr: 3.84e-05
  step 11700/30026 | epoch 1/2 | loss: 0.9288 | avg: 1.0350 | lr: 3.83e-05
  step 11750/30026 | epoch 1/2 | loss: 0.9159 | avg: 1.0344 | lr: 3.82e-05
  step 11800/30026 | epoch 1/2 | loss: 0.5324 | avg: 1.0341 | lr: 3.80e-05
  step 11850/30026 | epoch 1/2 | loss: 0.7792 | avg: 1.0333 | lr: 3.79e-05
  step 11900/30026 | epoch 1/2 | loss: 0.9395 | avg: 1.0331 | lr: 3.78e-05
  step 11950/30026 | epoch 1/2 | loss: 0.7473 | avg: 1.0329 | lr: 3.77e-05
  step 12000/30026 | epoch 1/2 | loss: 0.5918 | avg: 1.0324 | lr: 3.75e-05
  step 12050/30026 | epoch 1/2 | loss: 1.1553 | avg: 1.0319 | lr: 3.74e-05
  step 12100/30026 | epoch 1/2 | loss: 0.5791 | avg: 1.0318 | lr: 3.73e-05
  step 12150/30026 | epoch 1/2 | loss: 0.3536 | avg: 1.0312 | lr: 3.71e-05
  step 12200/30026 | epoch 1/2 | loss: 0.6998 | avg: 1.0309 | lr: 3.70e-05
  step 12250/30026 | epoch 1/2 | loss: 1.0056 | avg: 1.0307 | lr: 3.69e-05
  step 12300/30026 | epoch 1/2 | loss: 1.0311 | avg: 1.0303 | lr: 3.68e-05
  step 12350/30026 | epoch 1/2 | loss: 0.9834 | avg: 1.0301 | lr: 3.66e-05
  step 12400/30026 | epoch 1/2 | loss: 0.6319 | avg: 1.0295 | lr: 3.65e-05
  step 12450/30026 | epoch 1/2 | loss: 0.7257 | avg: 1.0292 | lr: 3.64e-05
  step 12500/30026 | epoch 1/2 | loss: 1.0992 | avg: 1.0289 | lr: 3.62e-05
  step 12550/30026 | epoch 1/2 | loss: 0.9668 | avg: 1.0286 | lr: 3.61e-05
  step 12600/30026 | epoch 1/2 | loss: 1.1378 | avg: 1.0282 | lr: 3.60e-05
  step 12650/30026 | epoch 1/2 | loss: 1.2169 | avg: 1.0278 | lr: 3.59e-05
  step 12700/30026 | epoch 1/2 | loss: 0.9013 | avg: 1.0275 | lr: 3.57e-05
  step 12750/30026 | epoch 1/2 | loss: 1.0832 | avg: 1.0272 | lr: 3.56e-05
  step 12800/30026 | epoch 1/2 | loss: 0.9762 | avg: 1.0269 | lr: 3.55e-05
  step 12850/30026 | epoch 1/2 | loss: 1.2698 | avg: 1.0265 | lr: 3.53e-05
  step 12900/30026 | epoch 1/2 | loss: 0.9745 | avg: 1.0261 | lr: 3.52e-05
  step 12950/30026 | epoch 1/2 | loss: 1.0558 | avg: 1.0257 | lr: 3.51e-05
